name,state,region,lat,lon,campuses,id_long,id,locale,ug_enrollment,main_campus,hbcu,women_only,religious_affiliation,admission_rate,class,social_sciences,humanities,physical_sciences,ethnic_gender_studies,comp_sci,avg_faculty_salary,completion_rate,pell_grant,first_gen_completion_4
Austin College,TX,Southwest,33.646345,-96.596331,1,354300,3543,Small City / Suburb,NULL,1,0,0,1,0.5532,21,0.1,0,0.0552,0,0.031,7426,0.7013,0.3287,0.646153846
Southwestern Adventist University,TX,Southwest,32.397617,-97.32702,1,361900,3619,Town,NULL,1,0,0,1,0.5533,22,0.011,0.0879,0.011,0,0.0385,5028,0.4915,0.4981,0.322580645
MacMurray College,IL,Midwest,39.730918,-90.223986,1,171700,1717,Town,NULL,1,0,0,1,0.5535,22,0,0,0,0.0175,0,5923,0.4178,0.4952,0.445595855
Chatham University,PA,New England,40.448432,-79.926083,1,324400,3244,Large City / Suburb,NULL,1,0,0,NA,0.5538,17,0.0513,0,0.0154,0,0,7801,0.6325,0.3204,0.652777778
Southwestern College,KS,Midwest,37.248608,-96.975405,1,194000,1940,Town,NULL,1,0,0,1,0.5553,19,0.0498,0.0108,0.0022,0,0.1017,5857,0.4762,0.4115,0.431034483
Edward Waters College,FL,Southeast,30.34479,-81.684879,1,147800,1478,Large City / Suburb,NULL,1,1,0,1,0.5554,22,0,0,0,0,0,5160,0.2009,0.221,NA
Liberty University,VA,Southeast,37.350232,-79.18222,1,2053000,20530,Small City / Suburb,NULL,1,0,0,1,0.5554,17,0.0159,0.0074,0.0008,0,0.0166,6368,0.4981,0.4487,0.243586317
St Margaret School of Nursing,PA,New England,40.491687,-79.863106,1,655100,6551,Large City / Suburb,NULL,1,0,0,NA,0.5556,-2,0,0,0,0,0,NA,NULL,0.2935,NA
Fairfax University of America,VA,Southeast,38.84905,-77.347751,1,4144000,41440,Large City / Suburb,NULL,1,0,0,NA,0.5556,28,0,0,0,0,0.5833,6308,0.5,0.0147,NA
Mercy College of Ohio,OH,Midwest,41.658319,-83.552538,1,3097000,30970,Large City / Suburb,NULL,1,0,0,1,0.556,26,0,0.0259,0,0,0,6733,0.5682,0.4117,0.630434783
Northeastern Illinois University,IL,Midwest,41.980399,-87.718983,1,169300,1693,Large City / Suburb,NULL,1,0,0,NA,0.5563,18,0.074,0.105,0.0132,0.0092,0.0561,8055,0.2129,0.4279,0.307511737
North Central College,IL,Midwest,41.77576,-88.14279,1,173400,1734,Midsize City / Suburb,NULL,1,0,0,1,0.5568,19,0.0868,0.009,0.0314,0.0045,0.0254,8298,0.6793,0.2651,0.657676349
Sarah Lawrence College,NY,New England,40.9355,-73.843727,1,281300,2813,Large City / Suburb,NULL,1,0,0,NA,0.5585,21,0,1,0,0,0,10182,0.7326,0.163,0.620689655
University at Buffalo,NY,New England,43.000942,-78.789458,1,283700,2837,Large City / Suburb,NULL,1,0,0,NA,0.5585,15,0.1432,0,0.0284,0.0029,0.0374,10636,0.7552,0.325,0.621804511
University of Louisiana at Lafayette,LA,Southeast,30.212191,-92.020165,1,203100,2031,Midsize City / Suburb,NULL,1,0,0,NA,0.5599,16,0.0268,0.1011,0.0132,0,0.0347,8337,0.4821,0.3365,0.39091858
Christian Brothers University,TN,Southeast,35.127437,-89.983241,1,348200,3482,Large City / Suburb,NULL,1,0,0,1,0.5601,18,0,0.0255,0.0191,0.0096,0.0159,7011,0.5817,0.3244,0.443298969
Webster University,MO,Midwest,38.588875,-90.345151,1,252100,2521,Large City / Suburb,NULL,1,0,0,NA,0.5614,18,0.0497,0.0065,0,0.0026,0.0693,8686,0.5912,0.3347,0.532125206
Union College,KY,Southeast,36.870875,-83.888477,1,198800,1988,Town,NULL,1,0,0,1,0.5634,20,0.0248,0.0373,0.0062,0,0.0248,4877,0.267,0.5323,0.201716738
University of Providence,MT,Rocky Mountains,47.490713,-111.270604,1,252700,2527,Small City / Suburb,NULL,1,0,0,1,0.5636,22,0.0038,0.0269,0,0,0.0038,5795,0.458,0.2538,0.372972973
Williams Baptist University,AR,Southeast,36.125676,-90.940277,1,110600,1106,Rural,NULL,1,0,0,1,0.5639,21,0,0.2449,0,0,0,5355,0.3806,0.5011,0.308270677
Columbus State University,GA,Southeast,32.50096,-84.94106,1,156100,1561,Midsize City / Suburb,NULL,1,0,0,NA,0.5639,18,0.0558,0.0258,0.0216,0,0.0616,6777,0.3691,0.4536,0.284787311
Claflin University,SC,Southeast,33.498444,-80.854319,1,342400,3424,Town,NULL,1,1,0,1,0.564,22,0.0548,0,0.0032,0.0032,0.0097,6896,0.4955,0.7233,0.435267857
Beloit College,WI,Midwest,42.504022,-89.029285,1,383500,3835,Small City / Suburb,NULL,1,0,0,NA,0.564,21,0.2595,0,0.1221,0.0076,0.0344,7043,0.7942,0.2496,0.838383838
Arizona Christian University,AZ,Southwest,33.595117,-112.026211,1,711300,7113,Large City / Suburb,NULL,1,0,0,1,0.5644,22,0.0898,0,0,0,0,4607,0.4512,0.4173,0.133333333
Louisiana State University-Alexandria,LA,Southeast,31.178616,-92.414409,1,201100,2011,Rural,NULL,1,0,0,NA,0.5645,21,0,0.2252,0.0088,0,0,6162,0.2965,0.3763,0.263048017
Marion Military Institute,AL,Southeast,32.623734,-87.322041,1,102600,1026,Rural,NULL,1,0,0,NA,0.5646,1,0,1,0,0,0,6302,NULL,0.4193,0.3
University of Denver,CO,Rocky Mountains,39.678005,-104.963259,1,137100,1371,Large City / Suburb,NULL,1,0,0,NA,0.5647,16,0.1742,0,0.0128,0.0053,0.0435,10796,0.7722,0.1676,0.620320856
University of Missouri-Kansas City,MO,Midwest,39.034179,-94.582141,1,251800,2518,Large City / Suburb,NULL,1,0,0,NA,0.5648,16,0.0602,0.0833,0.0613,0,0.0343,9041,0.4886,0.2578,0.449851632
Pennsylvania State University-Main Campus,PA,New England,40.7965,-77.862848,23,332900,3329,Small City / Suburb,NULL,1,0,0,NA,0.5649,15,0.0783,0.0009,0.0328,0.0032,0.0872,11139,0.8507,0.1445,0.524297189
Shorter University,GA,Southeast,34.257543,-85.196529,1,159100,1591,Small City / Suburb,NULL,1,0,0,1,0.5652,20,0.0068,0.1318,0.0034,0,0.0101,4994,0.4571,0.4469,0.412037037
Texas Southern University,TX,Southwest,29.721046,-95.361113,1,364200,3642,Large City / Suburb,NULL,1,1,0,NA,0.5663,16,0.0175,0.0513,0.0216,0,0.0246,7598,0.2135,0.6331,0.216130733
Flagler College-St Augustine,FL,Southeast,29.892733,-81.314887,2,789300,7893,Small City / Suburb,NULL,1,0,0,NA,0.5665,22,0.124,0.0159,0,0,0,7534,0.5566,0.3001,0.628318584
DigiPen Institute of Technology,WA,Far West,47.68871,-122.150603,1,3724300,37243,Small City / Suburb,NULL,1,0,0,NA,0.5665,22,0,0,0,0,0.4906,9030,0.4655,0.2636,0.434782609
Birmingham-Southern College,AL,Southeast,33.513774,-86.850552,1,101200,1012,Midsize City / Suburb,NULL,1,0,0,1,0.5666,21,0.0674,0,0.0532,0.0213,0,7688,0.68,0.2214,0.47
Jersey College,NJ,New England,40.862137,-74.057936,1,4134100,41341,Large City / Suburb,NULL,1,0,0,NA,0.5667,10,0,0,0,0,0,6431,NULL,0.6141,0.503791983
The New School,NY,New England,40.735508,-73.997114,1,2066200,20662,Large City / Suburb,NULL,1,0,0,NA,0.5673,16,0.0212,0.0642,0,0,0.0763,11585,0.7164,0.2013,0.543554007
Brenau University,GA,Southeast,34.303117,-83.821513,1,155600,1556,Small City / Suburb,NULL,1,0,1,NA,0.5688,18,0,0.117,0,0,0,7267,0.432,0.538,0.376168224
Mississippi State University,MS,Southeast,33.454852,-88.790139,1,242300,2423,Town,NULL,1,0,0,NA,0.5692,15,0.0408,0.0164,0.0298,0,0.0113,8789,0.5835,0.3266,0.419060648
Abilene Christian University,TX,Southwest,32.468943,-99.709797,1,353700,3537,Midsize City / Suburb,NULL,1,0,0,1,0.5696,18,0.0209,0,0.0098,0,0.0363,7756,0.6695,0.2698,0.413533835
Bennington College,VT,New England,42.919547,-73.237799,1,368200,3682,Town,NULL,1,0,0,NA,0.5703,21,0.102,0.0136,0.0068,0.0136,0.0408,9752,0.7411,0.2023,0.704545455
Gallaudet University,DC,New England,38.907371,-76.993675,1,144300,1443,Large City / Suburb,NULL,1,0,0,NA,0.5706,16,0.0851,0,0.016,0.0585,0.0319,10333,0.4717,0.5775,0.425287356
Central State University,OH,Midwest,39.715787,-83.880186,1,302600,3026,Rural,NULL,1,1,0,NA,0.5708,22,0.0284,0,0.0237,0,0.0332,6952,0.2335,0.8161,0.215789474
Hult International Business School,MA,New England,42.369968,-71.070645,1,4143200,41432,Midsize City / Suburb,NULL,1,0,0,NA,0.5709,29,0,0,0,0,0,10392,NULL,0.041,NA
Inter American University of Puerto Rico-Fajardo,PR,US Outlying Areas,18.329222,-65.648052,1,2282800,22828,Small City / Suburb,NULL,1,0,0,NA,0.571,20,0,0,0,0,0.0597,5313,0.298,0.8512,0.160839161
Buena Vista University,IA,Midwest,42.642255,-95.208529,1,184700,1847,Town,NULL,1,0,0,1,0.5713,19,0,0.0151,0.0034,0,0.0118,6336,0.5439,0.4856,0.465408805
William Peace University,NC,Southeast,35.789139,-78.637697,1,295300,2953,Large City / Suburb,NULL,1,0,0,1,0.5713,22,0.1024,0.0551,0,0,0,5849,0.3733,0.5161,0.378205128
Chamberlain University-Nevada,NV,Far West,36.185176,-115.313525,15,638515,6385,Large City / Suburb,NULL,0,0,0,NA,0.5714,26,0,0,0,0,0,8090,NULL,0.4812,0.44371808
Hobart William Smith Colleges,NY,New England,42.858131,-76.985516,1,273100,2731,Town,NULL,1,0,0,NA,0.5717,21,0.31,0.0265,0.0624,0.0397,0.0227,9502,0.7817,0.1828,0.709219858
Lees-McRae College,NC,Southeast,36.162477,-81.873371,1,293900,2939,Rural,NULL,1,0,0,1,0.5718,22,0,0,0,0,0,5190,0.3736,0.5147,0.552036199
Cedar Crest College,PA,New England,40.586318,-75.519221,1,324300,3243,Midsize City / Suburb,NULL,1,0,1,NA,0.5719,20,0.0444,0.0056,0.0167,0,0,7702,0.4552,0.4341,0.456896552
University of South Carolina-Upstate,SC,Southeast,34.996403,-81.970583,1,695100,6951,Midsize City / Suburb,NULL,1,0,0,NA,0.5719,22,0.0213,0.0812,0.0032,0,0.0559,6892,0.4597,0.4589,0.463960232
Landmark College,VT,New England,42.977172,-72.512549,1,2532600,25326,Rural,NULL,1,0,0,NA,0.5722,23,0,0.9043,0,0,0.0522,6530,0.3636,0.2711,0.371428571
University of Bridgeport,CT,New England,41.164741,-73.190166,1,141600,1416,Midsize City / Suburb,NULL,1,0,0,NA,0.5724,17,0.0219,0.1427,0,0.0027,0.0137,8597,0.4162,0.473,0.420054201
University of New Orleans,LA,Southeast,30.027704,-90.067142,1,201500,2015,Large City / Suburb,NULL,1,0,0,NA,0.5726,16,0.0344,0,0.0388,0,0.0423,7979,0.3683,0.3606,0.354185833
Eureka College,IL,Midwest,40.71482,-89.269624,1,167800,1678,Town,NULL,1,0,0,1,0.5728,22,0.0247,0.0062,0.0185,0,0,5679,0.5385,0.4202,0.5375
Mars Hill University,NC,Southeast,35.82752,-82.551827,1,294400,2944,Large City / Suburb,NULL,1,0,0,NA,0.5737,22,0.0442,0,0.0201,0,0.0161,5228,0.3899,0.6144,0.371007371
Union University,TN,Southeast,35.676896,-88.858524,1,352800,3528,Small City / Suburb,NULL,1,0,0,1,0.5742,17,0.0122,0.0157,0.0192,0,0.0105,7715,0.7065,0.2395,0.548628429
National University College,PR,US Outlying Areas,18.396872,-66.157027,6,2260600,22606,Large City / Suburb,NULL,1,0,0,NA,0.5745,26,0,0,0,0,0.0332,3024,0.3416,0.8035,0.221741344
Tabor College,KS,Midwest,38.348606,-97.200949,1,194600,1946,Town,NULL,1,0,0,1,0.5748,22,0.0526,0,0.0066,0,0,5171,0.4214,0.3432,0.383333333
California State University-Fresno,CA,Far West,36.811154,-119.744569,1,114700,1147,Large City / Suburb,NULL,1,0,0,NA,0.5753,17,0.1375,0.0784,0.01,0.0025,0.0104,9393,0.5399,0.5954,0.438097918
Saint Louis University,MO,Midwest,38.636801,-90.2351,1,250600,2506,Large City / Suburb,NULL,1,0,0,1,0.5753,16,0.0216,0.008,0.0125,0.0046,0.0279,10385,0.7713,0.1392,0.54875
Ozark Christian College,MO,Midwest,37.103172,-94.510622,1,2202700,22027,Small City / Suburb,NULL,1,0,0,1,0.5755,24,0,0,0,0,0,5077,0.522,0.3952,0.357142857
Morningside College,IA,Midwest,42.473891,-96.359464,1,187900,1879,Small City / Suburb,NULL,1,0,0,1,0.5758,18,0.05,0,0.0036,0,0.025,6785,0.5055,0.2965,0.510638298
St. John's College,MD,New England,38.981598,-76.491359,1,209200,2092,Large City / Suburb,NULL,1,0,0,NA,0.5761,21,0,1,0,0,0,9699,0.7551,0.2294,0.609756098
Hiram College,OH,Midwest,41.3107,-81.143981,1,304900,3049,Town,NULL,1,0,0,NA,0.5761,22,0.1116,0.0041,0.0124,0,0.0248,6223,0.5805,0.3909,0.55513308
Richard Bland College,VA,Southeast,37.156972,-77.399932,1,370700,3707,Rural,NULL,1,0,0,NA,0.5765,1,0,0.1239,0.8034,0,0,6263,NULL,0.1667,0.229226361
Lewis University,IL,Midwest,41.605432,-88.079032,1,170700,1707,Large City / Suburb,NULL,1,0,0,1,0.5776,18,0.0091,0.0137,0.0343,0,0.0831,9299,0.6354,0.3171,0.509698276
Cogswell College,CA,Far West,37.414049,-121.94087,1,117700,1177,Large City / Suburb,NULL,1,0,0,NA,0.5787,22,0,0,0,0,0.2328,7404,0.3529,0.461,0.224299065
Morehouse College,GA,Southeast,33.745982,-84.414917,1,158200,1582,Large City / Suburb,NULL,1,1,0,NA,0.5788,21,0.1683,0,0.0427,0.005,0.0578,6037,0.5414,0.4796,0.368271955
Xavier University of Louisiana,LA,Southeast,29.964162,-90.107307,1,203200,2032,Large City / Suburb,NULL,1,1,0,1,0.5788,20,0.0367,0,0.1267,0,0.0067,8817,0.4932,0.5186,0.379032258
Lake Forest College,IL,Midwest,42.249574,-87.827454,1,170600,1706,Large City / Suburb,NULL,1,0,0,NA,0.5792,21,0.1387,0.0131,0.0445,0.0131,0.0131,8654,0.6923,0.3627,0.712962963
